datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-04 13:50:00,sh.600000,9.92,9.93,9.91,9.92,395400,3922686.0,3
2019-01-04 13:55:00,sh.600000,9.92,9.93,9.91,9.92,300233,2977708.0,3
2019-01-04 14:00:00,sh.600000,9.91,9.93,9.91,9.93,333446,3307611.0,3
2019-01-04 14:05:00,sh.600000,9.93,9.93,9.91,9.92,246750,2447952.0,3
2019-01-04 14:10:00,sh.600000,9.92,9.92,9.91,9.91,248886,2467781.0,3
2019-01-04 14:15:00,sh.600000,9.91,9.94,9.91,9.93,256743,2549074.0,3
2019-01-04 14:20:00,sh.600000,9.94,9.95,9.93,9.95,338300,3364221.0,3
2019-01-04 14:25:00,sh.600000,9.94,9.95,9.94,9.94,209300,2082197.0,3
2019-01-04 14:30:00,sh.600000,9.94,9.95,9.94,9.94,194630,1936195.0,3
2019-01-04 14:35:00,sh.600000,9.94,9.96,9.94,9.95,414863,4130761.0,3
2019-01-04 14:40:00,sh.600000,9.95,9.97,9.95,9.95,504200,5019109.0,3
2019-01-04 14:45:00,sh.600000,9.96,9.97,9.95,9.96,311104,3097694.0,3
2019-01-04 14:50:00,sh.600000,9.95,9.96,9.95,9.96,337444,3358788.0,3
2019-01-04 14:55:00,sh.600000,9.96,9.98,9.95,9.97,694111,6916241.0,3
2019-01-04 15:00:00,sh.600000,9.96,9.98,9.96,9.96,637206,6351049.0,3
2019-01-07 09:35:00,sh.600000,10.09,10.09,10.0,10.04,2395087,24070387.0,3
2019-01-07 09:40:00,sh.600000,10.04,10.05,9.96,9.98,1412918,14130019.0,3
2019-01-07 09:45:00,sh.600000,9.98,9.99,9.96,9.97,929334,9270936.0,3
2019-01-07 09:50:00,sh.600000,9.98,10.0,9.96,9.98,540546,5392500.0,3
2019-01-07 09:55:00,sh.600000,9.98,9.99,9.93,9.93,1156042,11511945.0,3
2019-01-07 10:00:00,sh.600000,9.93,9.97,9.92,9.96,525100,5220732.0,3
2019-01-07 10:05:00,sh.600000,9.96,9.99,9.96,9.98,457700,4565865.0,3
2019-01-07 10:10:00,sh.600000,9.98,9.99,9.97,9.97,385665,3848035.0,3
2019-01-07 10:15:00,sh.600000,9.97,9.98,9.94,9.95,767235,7637839.0,3
2019-01-07 10:20:00,sh.600000,9.95,9.96,9.93,9.94,291000,2892837.0,3
2019-01-07 10:25:00,sh.600000,9.94,9.95,9.92,9.93,574400,5704227.0,3
2019-01-07 10:30:00,sh.600000,9.93,9.94,9.92,9.93,439600,4364610.0,3
2019-01-07 10:35:00,sh.600000,9.92,9.95,9.92,9.94,547400,5437865.0,3
2019-01-07 10:40:00,sh.600000,9.94,9.98,9.92,9.97,1151645,11451395.0,3
2019-01-07 10:45:00,sh.600000,9.96,9.98,9.94,9.98,498200,4962181.0,3
2019-01-07 10:50:00,sh.600000,9.98,9.98,9.95,9.96,423100,4218513.0,3
2019-01-07 10:55:00,sh.600000,9.96,9.98,9.96,9.97,366400,3652099.0,3
2019-01-07 11:00:00,sh.600000,9.97,9.99,9.96,9.96,424700,4233394.0,3
2019-01-07 11:05:00,sh.600000,9.95,9.96,9.94,9.95,414300,4122814.0,3
2019-01-07 11:10:00,sh.600000,9.95,9.95,9.94,9.95,363900,3619068.0,3
2019-01-07 11:15:00,sh.600000,9.95,9.95,9.94,9.95,209400,2082307.0,3
2019-01-07 11:20:00,sh.600000,9.95,9.96,9.93,9.94,478500,4754892.0,3
2019-01-07 11:25:00,sh.600000,9.94,9.96,9.93,9.94,130660,1299579.0,3
2019-01-07 11:30:00,sh.600000,9.94,9.96,9.93,9.93,211100,2097293.0,3
2019-01-07 13:05:00,sh.600000,9.93,9.95,9.93,9.94,228681,2272829.0,3
2019-01-07 13:10:00,sh.600000,9.94,9.96,9.93,9.94,106800,1061744.0,3
2019-01-07 13:15:00,sh.600000,9.94,9.96,9.94,9.95,78601,782094.0,3
2019-01-07 13:20:00,sh.600000,9.95,9.98,9.95,9.96,164600,1640099.0,3
2019-01-07 13:25:00,sh.600000,9.96,9.97,9.94,9.94,382300,3803372.0,3
